,0,1
95,"('Lemon Rice Combo [Full]', 'rajma rice')",1
96,"('Lemon Rice Combo [Full]', 'Masala Maggi')",0
97,"('Lemon Rice Combo [Full]', 'chole rice')",3
98,"('Lemon Rice Combo [Full]', 'Chicken Seekh Kebab')",0
99,"('Lemon Rice Combo [Full]', 'Plain nan')",0
100,"('Lemon Rice Combo [Full]', 'Mutton Rogan Josh')",0
101,"('Lemon Rice Combo [Full]', 'Tea')",0
102,"('Lemon Rice Combo [Full]', 'Onion salad')",1
103,"('Lemon Rice Combo [Full]', 'Fish Tikka')",0
104,"('Lemon Rice Combo [Full]', 'Kaju chicken')",0
105,"('Lemon Rice Combo [Full]', 'Veg pulav')",0
106,"('Lemon Rice Combo [Full]', 'Chicken Pahadi Tikka')",0
107,"('Lemon Rice Combo [Full]', 'Chilly Paneer')",1
108,"('Lemon Rice Combo [Full]', 'Cold Coffee')",0
109,"('Lemon Rice Combo [Full]', 'Mutton Seekh Kebab')",0
110,"('Lemon Rice Combo [Full]', 'Chicken Kolhapuri')",0
111,"('Lemon Rice Combo [Full]', 'Tandoori Garlic Chicken')",0
112,"('Lemon Rice Combo [Full]', 'Hyderabadi Keema Biryani')",0
113,"('Lemon Rice Combo [Full]', 'Butter Khichdhi')",0
114,"('Lemon Rice Combo [Full]', 'Hyderabadi Chicken Tikka Biryani')",0
115,"('Lemon Rice Combo [Full]', 'Paneer Punjabi')",0
116,"('Lemon Rice Combo [Full]', 'cheese Chutney')",0
117,"('Lemon Rice Combo [Full]', 'Chicken Lollypop (6 pc)')",0
118,"('Lemon Rice Combo [Full]', 'Rayalaseema Kodi Kura')",0
119,"('Lemon Rice Combo [Full]', 'Mutter Paneer')",0
120,"('Lemon Rice Combo [Full]', 'Chicken Roast')",0
121,"('Lemon Rice Combo [Full]', 'Chicken Fry')",3
122,"('Lemon Rice Combo [Full]', 'Paneer Tikka')",1
123,"('Lemon Rice Combo [Full]', 'Chicken Leg Afgani 2 pc')",0
124,"('Lemon Rice Combo [Full]', 'Rumali Roti')",0
125,"('Lemon Rice Combo [Full]', 'Tandoori Chicken Kali Mirch')",0
126,"('Lemon Rice Combo [Full]', 'Chicken Leg Malai 2pc')",0
127,"('Lemon Rice Combo [Full]', 'Veg Roll')",0
128,"('Lemon Rice Combo [Full]', 'Benjo')",1
129,"('Lemon Rice Combo [Full]', 'Butter Milk')",0
130,"('Lemon Rice Combo [Full]', 'Cold Coffee With Ice Cream')",0
131,"('Lemon Rice Combo [Full]', 'Egg Roll')",2
132,"('Lemon Rice Combo [Full]', 'Cheese maggi')",0
133,"('Lemon Rice Combo [Full]', 'Mix Veg')",0
134,"('Lemon Rice Combo [Full]', 'Bread Omlette')",0
135,"('Lemon Rice Combo [Full]', 'Hakka Noodles')",0
136,"('Lemon Rice Combo [Full]', 'Chicken Pudina Tikka')",0
137,"('Lemon Rice Combo [Full]', 'Bhuna Chicken')",0
138,"('Lemon Rice Combo [Full]', 'Bread Butter Toast')",0
139,"('Lemon Rice Combo [Full]', 'Butter Cheese maggi')",0
140,"('Lemon Rice Combo [Full]', 'plain maggi')",0
141,"('Lemon Rice Combo [Full]', 'Choclate Shake')",0
142,"('Lemon Rice Combo [Full]', 'Vegetable Mayo cheese')",0
143,"('Lemon Rice Combo [Full]', 'Chilly Chicken')",0
144,"('Lemon Rice Combo [Full]', 'Tandoori Malai Chicken')",0
145,"('Lemon Rice Combo [Full]', 'Aloo Muttor')",0
146,"('Lemon Rice Combo [Full]', 'Fish Finger')",0
147,"('Lemon Rice Combo [Full]', 'Mix Paratha')",1
148,"('Lemon Rice Combo [Full]', 'Kaju curry')",0
149,"('Lemon Rice Combo [Full]', 'Masala')",2
150,"('Lemon Rice Combo [Full]', 'Vegetable')",0
151,"('Lemon Rice Combo [Full]', 'Paneer Handi')",0
152,"('Lemon Rice Combo [Full]', 'Bhindi masala')",1
153,"('Lemon Rice Combo [Full]', 'Muttor Pulav')",0
